Cluster Number	Metanode UniProt ID	SwissProt Annotations
1	A0L3M0	Biotin synthase ||2.8.1.6
1	A0LJA8	Biotin synthase ||2.8.1.6
1	A0PYU9	Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6
1	A0QX70	Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase 1 ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6
1	A1KU01	Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6
1	A3DBD3	Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6
1	A4J1M3	Biotin synthase ||2.8.1.6
1	A5D4Y6	Biotin synthase ||2.8.1.6
1	A5GS37	Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6
1	A6GW77	Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6
1	A6LD84	Biotin synthase ||2.8.1.6
1	A6TT61	Biotin synthase ||2.8.1.6;Biotin synthase ||2.8.1.6
