Cluster Number	Metanode UniProt ID	SwissProt Annotations
1	E3PRJ8	L-lysine 2,3-aminomutase ||5.4.3.2
1	O66761	Putative L-lysine 2,3-aminomutase aq_454 ||5.4.3.-
1	O67554	Putative L-lysine 2,3-aminomutase aq_1632 ||5.4.3.-
1	O83158	Putative L-lysine 2,3-aminomutase ||5.4.3.-
1	P39280	L-lysine 2,3-aminomutase ||5.4.3.-;L-lysine 2,3-aminomutase ||5.4.3.-;L-lysine 2,3-aminomutase ||5.4.3.-
1	Q185C5	Glutamate 2,3-aminomutase||5.4.3.9
1	Q44634	L-lysine 2,3-aminomutase ||5.4.3.-
1	Q6LYX4	L-lysine 2,3-aminomutase ||5.4.3.2
1	Q8PYC9	L-lysine 2,3-aminomutase ||5.4.3.2
1	Q8RHX4	L-lysine 2,3-aminomutase ||5.4.3.2
1	Q9XBQ8	L-lysine 2,3-aminomutase ||5.4.3.2
